year,countryname,countrycode,lifeexp,population,gdppc,health_expend,continent
2017,"Korea, Rep.",KOR,82.62682927,51.466201,35.93837422,7.04742336,Asia
2017,Kuwait,KWT,74.811,4.056097,66.00858461,4.65326786,Asia
2017,Kyrgyz Republic,KGZ,71.2,6.1982,3.39361799,6.19,Asia
2017,Lao PDR,LAO,67.021,6.953035,6.307628082,2.52606821,Asia
2017,Latvia,LVA,74.6804878,1.942248,25.02979255,5.97,Europe
2017,Lebanon,LBN,79.758,6.811873,11.64701809,7.80396605,Asia
2017,Lesotho,LSO,54.568,2.091412,2.845889522,10.57480335,Africa
2017,Liberia,LBR,63.006,4.702228,1.17563541,10.47271252,Africa
2017,Lithuania,LTU,74.67073171,2.828403,29.60387703,6.48,Europe
2017,Luxembourg,LUX,82.68536585,0.596336,93.10178496,5.14,Europe
2017,Madagascar,MDG,66.312,25.57054,1.418309584,4.80225992,Africa
2017,Malawi,MWI,63.671,17.67026,1.154028727,7.58438921,Africa
2017,Malaysia,MYS,75.452,31.105028,27.27185923,3.71472311,Asia
2017,Maldives,MDV,77.649,0.496402,13.33293838,9.27,Asia
2017,Mali,MLI,58.456,18.512394,2.019441058,3.67425752,Africa
2017,Malta,MLT,82.45365854,0.467999,36.98891847,8.73,Europe
2017,Mauritania,MRT,63.384,4.282574,3.696353104,3.31550789,Africa
2017,Mauritius,MUS,74.51463415,1.264613,20.31949111,5.61408615,Africa
2017,Mexico,MEX,77.305,124.777324,17.94901995,5.45759058,Americas
2017,"Micronesia, Fed. Sts.",FSM,69.316,0.111459,3.185280685,12.1958313,Oceania
2017,Moldova,MDA,71.718,3.549196,6.234310347,7.13,Europe
2017,Mongolia,MNG,69.465,3.113779,11.62285369,4.33954334,Asia
2017,Montenegro,MNE,77.271,0.622373,16.47739299,7.98,Europe
2017,Morocco,MAR,76.059,35.581294,7.508795434,4.98920393,Africa
2017,Mozambique,MOZ,58.872,28.649007,1.176846424,7.83763266,Africa
2017,Myanmar,MMR,66.744,53.382581,5.6103247,5.08,Asia
2017,Namibia,NAM,64.85,2.402603,10.09323318,8.72573948,Africa
2017,Nepal,NPL,70.604,27.627124,2.605510114,4.72,Asia
2017,Netherlands,NLD,81.56097561,17.131296,48.78913571,10.11,Europe
2017,New Zealand,NZL,81.65853659,4.7939,36.04639432,8.96694851,Oceania
2017,Nicaragua,NIC,75.653,6.384855,5.169297773,8.32754421,Americas
2017,Niger,NER,60.422,21.602472,0.9206266175,5.57609606,Africa
2017,Nigeria,NGA,53.875,190.873311,5.351441254,3.74762511,Africa
2017,North Macedonia,MKD,75.851,2.081996,13.13953555,6.44,Europe
2017,Norway,NOR,82.5097561,5.276968,64.965386,10.23,Europe
2017,Oman,OMN,77.258,4.665935,37.32858836,3.95418668,Asia
2017,Pakistan,PAK,66.629,207.896686,4.771205236,2.7863009,Asia
2017,Panama,PAN,78.195,4.106771,22.24354948,7.42582321,Americas
2017,Papua New Guinea,PNG,65.705,8.438029,3.880650005,2.22970986,Oceania
2017,Paraguay,PRY,73.211,6.867062,11.79046156,6.60902548,Americas
2017,Peru,PER,75.22,31.444297,12.5181634,4.8808279,Americas
2017,Philippines,PHL,69.238,105.173264,7.580847417,3.96,Asia
2017,Poland,POL,77.85121951,37.974826,27.34627981,6.58,Europe
2017,Portugal,PRT,81.12439024,10.3003,28.03461996,9.31,Europe
2017,Qatar,QAT,78.331,2.724724,113.2621816,3.21237087,Asia
2017,Romania,ROU,75.3097561,19.587491,23.44160669,5.19,Europe
2017,Russian Federation,RUS,72.11902439,144.49674,24.79064833,5.36,Europe
2017,Rwanda,RWA,67.496,11.980937,1.892676646,6.38999748,Africa
2017,Samoa,WSM,75.24,0.195352,6.069604785,5.16120243,Oceania
2017,Sao Tome and Principe,STP,66.762,0.207089,3.01106566,6.46181059,Africa
2017,Saudi Arabia,SAU,74.72,33.099147,48.80396059,6.03126049,Asia
2017,Senegal,SEN,67.477,15.419381,3.232310165,4.16359377,Africa
2017,Serbia,SRB,76.08780488,7.020858,15.28909738,8.22039318,Europe
2017,Seychelles,SYC,74.3,0.095843,26.4158067,4.76658726,Africa
2017,Sierra Leone,SLE,52.214,7.488431,1.403791088,9.3997612,Africa
2017,Singapore,SGP,82.89512195,5.612253,87.76036815,4.36493397,Asia
2017,Slovak Republic,SVK,77.16585366,5.439232,30.13292048,6.76,Europe
2017,Slovenia,SVN,81.17560976,2.066388,31.35130424,8.18,Europe
2017,Solomon Islands,SLB,71.006,0.636038,2.126352921,4.14992523,Oceania
2017,South Africa,ZAF,63.404,57.000451,12.23336897,7.97711229,Africa
2017,Spain,ESP,83.32926829,46.593236,34.26911624,8.94491291,Europe
2017,Sri Lanka,LKA,75.485,21.444,11.70584378,3.33,Asia
2017,St. Lucia,LCA,75.696,0.180955,12.33366302,4.37286377,Americas
2017,St. Vincent and the Grenadines,VCT,73.294,0.109827,10.70426902,4.22985649,Americas
2017,Sudan,SDN,64.698,40.813396,4.435857095,5.91767406,Africa
2017,Suriname,SUR,71.523,0.570496,13.63627551,5.32285929,Americas
2017,Sweden,SWE,82.30731707,10.057698,46.68117148,10.79,Europe
2017,Switzerland,CHE,83.60243902,8.45184,57.99764349,11.0451622,Europe
2017,Tajikistan,TJK,71.214,8.880268,2.923673718,6.85,Asia
2017,Tanzania,TZA,66.31,54.663906,2.809069009,4.08257437,Africa
2017,Thailand,THA,75.498,69.209858,16.28563737,3.85276842,Asia
2017,Timor-Leste,TLS,69.199,1.243261,6.740890192,6.75752544,Asia
2017,Togo,TGO,60.477,7.698475,1.529515368,6.49392271,Africa
2017,Tonga,TON,73.179,0.101998,5.745951292,4.85577822,Oceania
2017,Trinidad and Tobago,TTO,70.783,1.384072,28.56684108,6.57946634,Americas
2017,Tunisia,TUN,75.943,11.433443,10.95002738,6.18557453,Africa
2017,Turkmenistan,TKM,67.956,5.757669,16.39017898,5.93897438,Asia
2017,Uganda,UGA,60.182,41.162465,1.768211137,3.99788952,Africa
2017,Ukraine,UKR,71.78097561,44.831135,7.906540301,7.44,Europe
2017,United Arab Emirates,ARE,77.412,9.487203,66.67597347,4.00854969,Asia
2017,United Kingdom,GBR,81.15609756,66.058859,39.86234552,9.5958786,Europe
2017,United States,USA,78.53902439,325.147121,54.47079667,16.76750183,Americas
2017,Uruguay,URY,77.645,3.436646,20.65847444,8.82179642,Americas
2017,Uzbekistan,UZB,71.42,32.3886,6.039503813,4.84,Asia
2017,Vanuatu,VUT,72.334,0.28551,2.827080453,2.76285458,Oceania
2017,Zambia,ZMB,62.255,16.853687999999998,3.717667166,4.78156233,Africa
2017,Zimbabwe,ZWE,61.712,14.236745,2.568410072,6.36358309,Africa
